date,200,500,3000,3000p
01-01-07,92678971,53935262,283403271,474032329
01-02-07,79579990,59601416,339224227,554826714
01-03-07,91183524,71483566,376451777,602855410
01-04-07,74342315,58269078,366343364,582520642
01-05-07,89056774,70952450,391277766,648054423
01-06-07,100004484,72000830,386406409,725281267
01-07-07,102526489,72721323,426949280,780953058
01-08-07,76014464,55531529,290187761,526689115
01-09-07,102320437,77658010,402815923,648991622
01-10-07,136072653,94152720,524996762,808323438
01-11-07,123742158,97465683,514798516,940732338
01-12-07,99061533,72119924,378034713,797699191
01-01-08,97001897,57349434,347886640,629610390
01-02-08,86757290,71397468,384276485,682779279
01-03-08,89954460,63301615,360869931,637817981
01-04-08,89397969,70114403,390378508,760570519
01-05-08,94385725,68859619,371619442,868192288
01-06-08,110087518,69634993,400869637,887746986
01-07-08,109171186,70143790,378758542,949579204
01-08-08,76005735,53902117,263842854,610779037
01-09-08,124718995,79427420,384377666,838357163
01-10-08,126651476,88967279,399188417,962613863
01-11-08,112709513,75218218,351574082,881968332
01-12-08,91636751,57397721,267024769,825394152
01-01-09,63593291,47137872,226100019,544253835
01-02-09,70483453,47742134,210076510,627000309
01-03-09,78981771,65209923,216671044,478529106
01-04-09,69839102,60447662,246945154,598529916
01-05-09,73693460,61515257,270837200,613400884
01-06-09,89926297,71172512,253839190,586480101
01-07-09,90722865,64880066,300174482,678670832
01-08-09,69582572,45644302,211880422,462442284
01-09-09,87427514,75847646,316510415,599338193
01-10-09,109481575,83841606,322556635,723232579
01-11-09,110289138,89800297,351170167,731308065
01-12-09,87803256,72363822,304720427,678130751
01-01-10,75220410,54019074,261253782,515695861
01-02-10,86788784,60394442,301945784,667291206
01-03-10,81046233,74485009,338779161,688938603
01-04-10,78850190,68429748,278029927,680325517
01-05-10,80173639,81608492,296322325,712417135
01-06-10,100208303,89558040,340764167,796095909
01-07-10,108855955,93892444,322145797,802711949
01-08-10,75354541,65321854,233212548,667814192
01-09-10,116437826,101298991,349754084,797544777
01-10-10,121093552,117010870,367396535,872974236
01-11-10,124971945,120457376,398082568,1027962842
01-12-10,111027101,116068665,370363262,863984661
01-01-11,92189540,73221493,258800637,652444668
01-02-11,98120246,98177404,314300533,766392360
01-03-11,98168913,103228379,352429416,757786601
01-04-11,94606786,93054060,367837990,911935745
01-05-11,113519211,98499211,399365282,926522151
01-06-11,112867095,98878122,367361241,897170672
01-07-11,116681457,107472958,375200975,1010235619
01-08-11,92959213,82069926,311386851,742398240
01-09-11,137372769,114947447,414625377,998949588
01-10-11,130280135,119372473,424478243,1090816872
01-11-11,134087460,126120149,444622746,1238276546
01-12-11,111220959,129164493,408151077,1098972660
01-01-12,93692543,78836839,297905682,777593316
01-02-12,109124522,103497069,352872161,974095251
01-03-12,103785705,108140987,366574431,950915733
01-04-12,101356543,97683821,345582929,1061303227
01-05-12,109402759,109040161,396119260,1194171496
01-06-12,113269620,105364451,375395388,1208397425
01-07-12,114831185,114596318,393253941,1255599084
01-08-12,95809977,91812648,307034698,905188532
01-09-12,125192534,113103216,372092529,1042289997
01-10-12,132383233,136528732,452966227,1288446395
01-11-12,136838220,139807320,447467919,1319178923
01-12-12,98118413,126077944,346618180,1116028870
01-01-13,95404229,100264538,319977101,892249460
01-02-13,99854653,100775674,319207250,982685125
01-03-13,102269095,101392283,338256028,1019797630
01-04-13,95125377,110799975,348816676,1150308039
01-05-13,100716103,127069311,367860991,1148015187
01-06-13,103899342,126293372,366056520,1144507975
01-07-13,118427898,138684201,411302781,1265862840
01-08-13,96039026,106968745,286244397,917872203
01-09-13,113112370,141246529,400636012,1144019231
01-10-13,122800724,155299844,452597677,1315579833
01-11-13,124218844,152164808,416057624,1328667748
01-12-13,102219832,131729102,363283960,1151920963
01-01-14,93380396,110021459,342741192,943275034
01-02-14,89173612,114753271,346515390,1068984256
01-03-14,83043095,125371134,321451954,1014580000
01-04-14,87140724,114729978,348015467,1193035061
01-05-14,96592934,124979085,360378216,1197593311
01-06-14,101486565,129733031,368263399,1165354904
01-07-14,120524336,137264371,414068815,1288641391
01-08-14,96721158,116185504,287614737,917560883
01-09-14,121783668,148433153,388187117,1201222256
01-10-14,137985893,156697366,436748397,1422659642
01-11-14,113423620,141247116,389303378,1307555978
01-12-14,107197700,139922315,340760928,1116003684
01-01-15,92961985,116402220,330470564,1018115562
01-02-15,98662560,111100605,330592884,1044314078
01-03-15,102391504,121787093,317910057,1100177748
01-04-15,98903592,107391482,325902846,1156052817
01-05-15,86849229,115476377,322061470,1098387859
01-06-15,105405733,130528753,377658916,1224460447
01-07-15,114477756,118912820,381776279,1188919021
01-08-15,84280834,88708856,279156892,946499377
01-09-15,109165362,127476697,363489725,1112892261
01-10-15,123734197,136131991,402854484,1221769991
01-11-15,108748691,130691876,381848349,1226373659
01-12-15,111173793,120248257,347264739,1077371311
01-01-16,85806958,102143355,303473292,946927084
01-02-16,87895543,105235582,302503918,1061578183
01-03-16,83436960,88770490,296383056,907396249
01-04-16,84746955,100300906,337914063,1005668692
01-05-16,82658289,98178090,316430267,944811840
01-06-16,92904531,104763857,355627325,989084965
01-07-16,96863331,107196637,345368782,996196527
01-08-16,84542401,97288301,293745026,812199202
01-09-16,103772877,112873306,360389559,1024676140
01-10-16,97093781,116660978,349214454,1035232472
01-11-16,111888593,119683004,392514986,1141454161
01-12-16,100773117,135616034,344592394,992572512
01-01-17,76992819,93679002,287896827,909688002
01-02-17,68783817,98411619,296235735,938519940
01-03-17,82790192,107607034,319369646,985811836
01-04-17,66067162,98264823,322990500,968311228
01-05-17,75087366,105652246,341629937,1089366689
01-06-17,89526185,114723141,375463997,1047383010
01-07-17,79597858,110289122,368430717,1054571580
01-08-17,79981035,95031243,295317110,867861642
01-09-17,85773382,115991575,368341005,1109527656
01-10-17,93777990,128791005,423308795,1100929967
01-11-17,99260893,143107891,440191418,1191661157
01-12-17,85102174,131830792,364311418,995936948
01-01-18,74303227,104964554,347872715,1002077100
01-02-18,74414511,107744379,353900126,1064775398
01-03-18,76321965,103850142,361762781,1004246826
01-04-18,71375943,106015991,377451953,1110330643
01-05-18,81411547,106246719,382017347,1161048739
01-06-18,80890136,107255565,412862130,1225463771
01-07-18,88558263,107245944,380396592,1140275320
01-08-18,69314819,88073777,320559836,934010392
01-09-18,78566956,105803560,347675913,1022074518
01-10-18,87179179,132322725,429474596,1234488863
01-11-18,86799512,123913969,439221777,1294583507
01-12-18,76725003,105116925,363512482,993639200
01-01-19,64345430,91413770,335028693,1051216505
01-02-19,63484923,107931121,337400207,1146309190
01-03-19,57377969,102133974,342944531,1136451474
01-04-19,59841206,98491794,349933885,1157901111
01-05-19,71919614,109412159,388248070,1311107231
01-06-19,64737467,91714475,329401240,1157214725
