eu_imports,,,
35468292215,,,
37734707104,,,
39858750854,,,
41982794604,,,
44249209493,,,
51159658629,,,
48561389137,,,
55501203028,,,
57504265743,,,
67835715293,,,
63940871198,,,
67918122780,,,
67679371195,,,
72315766952,,,
64163835774,,,
71292682917,,,
74419813722,,,
83207597886,,,
71942089980,,,
74856358430,,,
68254451037,,,
64973548200,,,
54287711973,,,
59930582529,,,
59663530634,,,
69610926214,,,
64462381385,,,
69887075961,,,
71146653569,,,
79528325048,,,
69119906655,,,
73360120084,,,
71897758379,,,
78971399090,,,
70156036538,,,
81673247465,,,
86655826566,,,
96796240947,,,
90686088491,,,
1.04E+11,,,
1.11E+11,,,
1.25E+11,,,
1.20E+11,,,
1.39E+11,,,
1.43E+11,,,
1.63E+11,,,
1.47E+11,,,
1.69E+11,,,
1.73E+11,,,
1.89E+11,,,
1.75E+11,,,
2.07E+11,,,
2.18E+11,,,
2.44E+11,,,
2.29E+11,,,
2.65E+11,,,
2.81E+11,,,
5.96E+11,,,
3.12E+11,,,
3.75E+11,,,
3.82E+11,,,
3.03E+11,,,
2.00E+11,,,
2.19E+11,,,
2.38E+11,,,
2.73E+11,,,
2.16E+11,,,
2.48E+11,,,
2.67E+11,,,
3.04E+11,,,
2.92E+11,,,
3.42E+11,,,
3.32E+11,,,
3.34E+11,,,
3.03E+11,,,
3.25E+11,,,
3.25E+11,,,
3.44E+11,,,
3.07E+11,,,
3.34E+11,,,
3.40E+11,,,
3.59E+11,,,
3.10E+11,,,
3.38E+11,,,
3.28E+11,,,
3.20E+11,,,
2.47E+11,,,
2.58E+11,,,
2.56E+11,,,
2.60E+11,,,
2.29E+11,,,
2.59E+11,,,
2.60E+11,,,
2.74E+11,,,
2.63E+11,,,
2.96E+11,,,
3.14E+11,,,
3.36E+11,,,
3.39E+11,,,
3.46E+11,,,
3.52E+11,,,
3.52E+11,,,
3.56E+11,,,
3.59E+11,,,
3.66E+11,,,
